epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.7568,0.96954,1.7019,1.40563,0.8732,0.78635,0.82915,0.47391,1.16692,1.71385,1.88045,0.000659498,0.000659498,0.000659498
2,22.9437,1.17452,1.52659,1.55624,0.70204,0.66469,0.71502,0.38226,1.35793,1.54592,2.1269,0.00131304,0.00131304,0.00131304
3,32.9662,1.27182,1.48791,1.645,0.77783,0.76876,0.78731,0.44034,1.40511,1.31048,2.14803,0.00195337,0.00195337,0.00195337
4,43.05,1.2573,1.43587,1.62921,0.79968,0.77151,0.81323,0.46637,1.44165,1.26218,2.12633,0.0019406,0.0019406,0.0019406
5,52.8851,1.23504,1.34586,1.61476,0.69146,0.55193,0.63777,0.27432,1.59582,1.69188,2.21151,0.0019208,0.0019208,0.0019208
6,62.8373,1.21141,1.32627,1.58644,0.69396,0.74481,0.75171,0.35267,1.56134,1.46262,2.17454,0.001901,0.001901,0.001901
7,72.8215,1.17007,1.24426,1.55809,0.84343,0.79925,0.86179,0.52488,1.22755,1.00352,1.89716,0.0018812,0.0018812,0.0018812
8,82.9065,1.14759,1.20675,1.53725,0.88453,0.77286,0.85627,0.52711,1.26365,1.12005,1.94336,0.0018614,0.0018614,0.0018614
9,93.0239,1.10998,1.16863,1.50555,0.8236,0.80712,0.85317,0.54082,1.2311,1.01129,1.90309,0.0018416,0.0018416,0.0018416
10,103.01,1.12063,1.16996,1.52201,0.82025,0.78338,0.86022,0.56302,1.14628,1.03597,1.72639,0.0018218,0.0018218,0.0018218
11,113.194,1.09207,1.126,1.48357,0.8819,0.79768,0.88364,0.55982,1.15742,0.92472,1.80104,0.001802,0.001802,0.001802
12,123.276,1.06793,1.09749,1.46976,0.92353,0.77745,0.87149,0.57081,1.18592,0.8865,1.86533,0.0017822,0.0017822,0.0017822
13,133.419,1.04313,1.07522,1.44727,0.89397,0.75371,0.8706,0.60689,1.07702,0.99799,1.68802,0.0017624,0.0017624,0.0017624
14,143.495,1.06574,1.08044,1.46799,0.84072,0.78312,0.86289,0.55132,1.10288,0.9678,1.69099,0.0017426,0.0017426,0.0017426
15,153.853,1.01287,1.03043,1.44041,0.85849,0.82789,0.89256,0.63183,1.05349,0.9039,1.63838,0.0017228,0.0017228,0.0017228
16,164.114,1.00016,1.00331,1.42183,0.8999,0.79525,0.89213,0.60171,1.11139,0.84017,1.70452,0.001703,0.001703,0.001703
17,174.328,1.01243,1.02664,1.43409,0.83479,0.86961,0.89319,0.61794,1.08344,0.88616,1.63528,0.0016832,0.0016832,0.0016832
18,184.608,0.99096,0.9926,1.41938,0.91512,0.83178,0.90058,0.61201,1.05791,0.75431,1.69288,0.0016634,0.0016634,0.0016634
19,194.958,0.94737,0.94969,1.38575,0.90397,0.83802,0.91651,0.64756,0.98214,0.83761,1.55968,0.0016436,0.0016436,0.0016436
20,205.68,0.96002,0.95152,1.39685,0.87548,0.86053,0.91844,0.64164,1.02405,0.77505,1.62305,0.0016238,0.0016238,0.0016238
21,216.295,0.94293,0.93689,1.38706,0.92458,0.85163,0.92899,0.68307,0.90446,0.70846,1.4651,0.001604,0.001604,0.001604
22,226.958,0.9188,0.89136,1.3617,0.91931,0.8546,0.91029,0.64587,1.0331,0.78585,1.56875,0.0015842,0.0015842,0.0015842
23,237.534,0.94168,0.90539,1.375,0.87565,0.87759,0.91693,0.65368,1.01948,0.77061,1.57127,0.0015644,0.0015644,0.0015644
24,248.039,0.92818,0.88543,1.3793,0.92328,0.85701,0.92955,0.65878,0.99264,0.73736,1.59445,0.0015446,0.0015446,0.0015446
25,258.654,0.9008,0.88311,1.34546,0.89173,0.85535,0.92072,0.67913,0.91519,0.70902,1.48503,0.0015248,0.0015248,0.0015248
26,269.167,0.89074,0.86157,1.3414,0.92952,0.83976,0.91501,0.65438,1.03509,0.7627,1.62938,0.001505,0.001505,0.001505
27,279.675,0.89741,0.87163,1.35029,0.95809,0.83976,0.92957,0.71115,0.83995,0.67769,1.41326,0.0014852,0.0014852,0.0014852
28,290.205,0.87679,0.86314,1.3434,0.90807,0.86944,0.92097,0.6889,0.9367,0.71673,1.52992,0.0014654,0.0014654,0.0014654
29,300.736,0.87136,0.84001,1.32691,0.90288,0.88276,0.93112,0.7025,0.90362,0.64342,1.48484,0.0014456,0.0014456,0.0014456
30,311.235,0.89148,0.84208,1.32777,0.91138,0.8545,0.91772,0.67029,0.89757,0.74994,1.4937,0.0014258,0.0014258,0.0014258
31,321.84,0.85895,0.83483,1.3133,0.85817,0.86182,0.90188,0.66508,0.92093,0.80135,1.46691,0.001406,0.001406,0.001406
32,332.052,0.85174,0.81124,1.31231,0.92773,0.83086,0.92634,0.71129,0.83387,0.69412,1.40049,0.0013862,0.0013862,0.0013862
33,342.248,0.8547,0.81423,1.31094,0.92235,0.88121,0.94357,0.71765,0.83108,0.65879,1.41358,0.0013664,0.0013664,0.0013664
