epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.6041,0.95905,1.71689,1.40377,0.75553,0.79228,0.80302,0.50548,1.02548,1.65115,1.75028,0.000659498,0.000659498,0.000659498
2,22.6206,1.16449,1.51758,1.55962,0.4099,0.50148,0.3639,0.12608,1.54805,2.41777,2.35787,0.00131304,0.00131304,0.00131304
3,32.5396,1.26467,1.47966,1.64542,0.71161,0.67953,0.69524,0.34691,1.44756,1.60046,2.14918,0.00195337,0.00195337,0.00195337
4,42.5089,1.24113,1.42998,1.61622,0.82054,0.70623,0.76441,0.40013,1.53961,1.33186,2.39611,0.0019406,0.0019406,0.0019406
5,52.3882,1.23005,1.34588,1.60598,0.63422,0.66172,0.61837,0.29595,1.49611,1.55175,2.21541,0.0019208,0.0019208,0.0019208
6,62.2255,1.19948,1.31544,1.57949,0.71983,0.63798,0.68596,0.31845,1.76301,1.42587,2.69204,0.001901,0.001901,0.001901
7,72.1391,1.19322,1.26878,1.57628,0.82966,0.80415,0.85248,0.52906,1.21588,1.04769,1.88127,0.0018812,0.0018812,0.0018812
8,81.954,1.13648,1.20995,1.52548,0.91684,0.79822,0.88038,0.56182,1.17776,0.92229,1.88364,0.0018614,0.0018614,0.0018614
9,91.8497,1.10226,1.1667,1.51949,0.8912,0.8368,0.89697,0.59045,1.14961,0.88963,1.77796,0.0018416,0.0018416,0.0018416
10,101.868,1.12506,1.19929,1.52717,0.84625,0.77151,0.85546,0.53698,1.23839,1.07776,1.81841,0.0018218,0.0018218,0.0018218
11,112.153,1.0774,1.12279,1.48343,0.92385,0.83383,0.90444,0.59003,1.08612,0.91248,1.69263,0.001802,0.001802,0.001802
12,122.162,1.02941,1.08388,1.45682,0.89928,0.78635,0.85193,0.53689,1.23265,1.02932,1.91679,0.0017822,0.0017822,0.0017822
13,132.303,1.05518,1.08125,1.46763,0.89472,0.807,0.90214,0.61835,1.05975,0.92541,1.62829,0.0017624,0.0017624,0.0017624
